,EXEC,MEM,FREQ,L3MISS,INST,L3MPI,INSTnom%,IPC,PhysIPC%,L3HIT,L2MPI,L2MISS,GT,Pred
541,0.2617066405609398,0.01641066953096863,0.3002569496776174,0.008250000000006067,0.45597422380115166,0.002612696112296574,0.2616108171663727,0.6738529574328359,0.6740740740736318,0.9636666666670001,0.004319950202296918,0.002995151515147732,1.0178208658,1.0150189847309368
196,0.38579628888032313,0.004672248803826707,0.300383854559011,0.0038627005347601933,0.3091104172966832,0.0008281299709482553,0.38613649724720744,0.9945725915870649,0.9944821347810946,0.977818181818,0.002005856888210084,0.0020612396694190353,1.01675310454,1.0221193866407685
538,0.9743024963289281,0.006111009667021423,0.9161136492082993,0.004718382352944646,0.37408660168569974,0.0003988203771417417,0.9742798353909464,0.8223880597014926,0.8222885572139305,0.9864,0.0026887955182072825,0.006818636363630166,1.10784246764,1.1551221619784702
542,0.9037511680690162,0.006042183380539183,0.9464219959572014,0.005248997326217095,0.4157653395961421,0.0004762775800684501,0.904147293036449,0.7394843961990051,0.7393034825870648,0.999909090909,0.13498854087086834,0.32017768594925444,1.2343767822,1.144820360292699
1344,0.38509544787077826,0.004316125134261915,0.29981278259216876,0.00405744485294416,0.309229748387891,0.0008792234711233323,0.385435038212816,0.9931592039800996,0.992039800995025,0.971875,0.0016334033613445377,0.0016624999999984888,1.0217645790899998,1.0220014610927597
1349,0.45994452602349484,0.004093268886506932,0.5974681821983623,0.003991666666679406,0.5152024992310689,0.0007258912237907787,0.46051342347589647,0.5964621337761195,0.5959093421781095,0.9993333333329999,0.05365701836302521,0.0650505050503045,1.02817820662,1.046108119513097
1346,0.23821178006167404,0.6656641603997501,0.36764344176500013,0.40806372549074127,0.6118243356424068,0.15818006037890625,0.23858514599206343,0.538142620233831,0.5378662244338309,0.665666666667,0.02311546840957983,0.013693484848483007,1.06177568073,1.0883007201693122
1352,0.3852993963127754,0.005623702112429848,0.3002569496776174,0.007113970588240526,0.30968092895411575,0.0015297648805643815,0.38572081781893,0.9928137092338309,0.991265892758209,0.955777777778,0.0018727046374117646,0.001903434343431906,1.0280908024700002,1.0221825169904173
199,0.45668135095447876,0.005376916316758659,0.597964264916641,0.004618114973275455,0.5199632287646663,0.0008385310784644612,0.4570840681951792,0.5911352329253732,0.5909543193124379,0.998454545455,0.034733893557422964,0.04211570247941627,1.01522579094,1.045983244141991
202,0.3828594313179149,0.004588467923037279,0.2995532044257338,0.0037465909090836375,0.3105880582668704,0.0008312735892636373,0.3830634386184597,0.9882406151044776,0.9888738127542289,0.975818181818,0.001828877005347339,0.0018220247933856165,1.01601475217,1.0218375242627602
203,0.24486049926578565,0.6836734693884621,0.39613358766584356,0.4868382352944756,0.6423452173908389,0.18147992113354144,0.24495394865814224,0.5351575456069653,0.535323383084577,0.5683333333330001,0.02547852474322129,0.016160984848480765,1.0739615731999999,1.0920351873960805
543,0.2646842878120411,0.7520945220189302,0.5108809815370555,0.52947794117686,0.7661861783710896,0.16207681029957421,0.2648442092886537,0.4942288557213931,0.4941293532338309,0.61,0.028058823529411765,0.02172799999998025,1.1014314738700002,1.107407974390296
1345,0.2587697829985316,0.6928034371639674,0.48261926442294906,0.3349754901973051,0.7406444659644079,0.10851132219489594,0.25883467241475594,0.4896075179656717,0.48955223880597026,0.6637777777780001,0.021136009959551824,0.015815757575753805,1.0752084129700001,1.0987208528358712
539,0.7687224669603524,0.004243179377011685,0.7461626318760528,0.003670588235296817,0.38487171565290196,0.00038981255231013097,0.7696942974720751,0.7980099502487563,0.797910447761194,0.9997,0.06218487394957982,0.12542727272715873,1.08546353503,1.098913785742735
1359,1.0,0.004391890440384323,0.920910653729774,0.003569558823532036,0.36630128405984025,0.0002993073928645634,1.0,0.8393034825870647,0.8396019900497513,0.9911,0.0026092436974789915,0.006866363636357394,1.21597450801,1.1608039909115404
